model,Accuracy,Precision,Recall,F1 score,Balanced Accuracy,Loss,Train time,Test time,Predictions
GINE,0.152317880794702,0.023200736809789044,0.152317880794702,0.04026794549744995,0.14285714285714285,18.65196130765195,0,2.602339744567871,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
GINE,0.152317880794702,0.023200736809789044,0.152317880794702,0.04026794549744995,0.14285714285714285,18.65196130765195,0,2.2072525024414062,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
GINE,0.695364238410596,0.5814255618567445,0.695364238410596,0.6217046597047783,0.6149068322981367,1.3638005209284902,26.83622431755066,1.0184473991394043,[4 2 6 0 6 4 6 4 3 3 2 6 4 6 4 4 2 3 6 6 6 3 0 3 0 2 6 2 6 6 3 2 2 2 4 2 3 4 3 4 6 6 0 6 3 2 6 4 2 3 2 4 4 6 4 2 0 4 0 6 6 0 0 0 2 3 2 0 2 6 3 6 3 0 0 6 6 6 2 4 6 2 6 6 4 2 4 3 0 3 2 6 6 4 2 0 6 6 0 6 4 4 2 6 6 0 6 6 0 4 6 4 3 4 2 6 2 4 4 6 0 0 0 6 6 3 2 4 2 6 0 6 6 4 6 4 0 6 2 2 6 6 3 4 0 2 3 6 4 4 0]
GINE,0.695364238410596,0.5814255618567445,0.695364238410596,0.6217046597047783,0.6149068322981367,1.3638005209284902,26.83622431755066,2.75252628326416,[4 2 6 0 6 4 6 4 3 3 2 6 4 6 4 4 2 3 6 6 6 3 0 3 0 2 6 2 6 6 3 2 2 2 4 2 3 4 3 4 6 6 0 6 3 2 6 4 2 3 2 4 4 6 4 2 0 4 0 6 6 0 0 0 2 3 2 0 2 6 3 6 3 0 0 6 6 6 2 4 6 2 6 6 4 2 4 3 0 3 2 6 6 4 2 0 6 6 0 6 4 4 2 6 6 0 6 6 0 4 6 4 3 4 2 6 2 4 4 6 0 0 0 6 6 3 2 4 2 6 0 6 6 4 6 4 0 6 2 2 6 6 3 4 0 2 3 6 4 4 0]
GINE,0.7152317880794702,0.602296235806822,0.7152317880794702,0.6301713347140342,0.6404053612291598,1.018660732452443,28.067903518676758,2.844766139984131,[4 2 2 0 2 4 3 4 3 5 2 3 4 2 4 4 2 3 3 3 3 5 0 5 0 2 2 2 3 3 3 2 2 2 4 0 3 4 3 4 3 2 0 3 3 2 2 4 2 5 2 0 4 2 4 2 0 4 0 2 2 0 0 0 2 5 2 0 2 3 3 2 3 0 0 3 2 3 2 4 3 2 3 3 4 2 4 3 0 5 2 2 3 4 2 0 3 2 0 3 4 4 2 2 2 0 2 3 0 4 3 4 3 4 2 3 2 4 4 3 0 0 0 3 2 5 2 4 3 2 0 2 3 4 2 0 0 2 2 2 3 3 5 4 5 2 5 2 4 4 0]
[5, 2, 6, 0, 6, 4, 3, 5, 3, 5, 2, 1, 4, 6, 4, 4, 2, 3, 3, 1, 3, 5, 0, 5, 0, 2, 6, 2, 1, 1, 3, 2, 2, 2, 4, 5, 5, 4, 3, 4, 3, 6, 0, 1, 3, 2, 6, 4, 2, 5, 2, 5, 4, 6, 4, 2, 0, 4, 0, 6, 6, 0, 0, 0, 2, 5, 2, 0, 2, 3, 3, 6, 5, 0, 0, 1, 6, 3, 2, 4, 3, 2, 1, 3, 4, 2, 4, 3, 0, 5, 2, 6, 3, 4, 2, 0, 3, 6, 0, 3, 4, 4, 2, 6, 6, 0, 6, 3, 5, 4, 1, 4, 3, 5, 2, 3, 2, 4, 4, 3, 0, 0, 0, 1, 6, 5, 2, 4, 0, 6, 0, 6, 1, 4, 6, 5, 0, 6, 2, 2, 1, 3, 5, 4, 5, 2, 5, 6, 4, 4, 0]
