model,Accuracy,Precision,Recall,F1 score,Balanced Accuracy,Loss,Train time,Test time,Predictions
GINE,0.15894039735099338,0.025262049910091663,0.15894039735099338,0.043595080416272476,0.14285714285714285,17.119029007210635,0,2.6544408798217773,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
GINE,0.15894039735099338,0.025262049910091663,0.15894039735099338,0.043595080416272476,0.14285714285714285,17.119029007210635,0,2.212326765060425,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
GINE,0.5298013245033113,0.3936887898383971,0.5298013245033113,0.4270962369344728,0.5267857142857143,1.3521444647517424,27.801631450653076,2.5088462829589844,[2 0 2 5 2 0 4 2 2 2 2 0 2 4 2 2 2 4 4 0 2 2 4 6 5 2 4 2 2 2 2 5 2 4 2 0 4 5 2 2 4 5 2 2 0 2 5 2 0 4 5 2 2 2 2 2 0 0 2 5 2 2 2 0 2 2 2 4 0 4 2 4 2 0 2 2 2 0 2 0 2 2 2 5 0 2 4 4 2 4 0 2 0 2 2 2 0 0 2 2 2 0 2 2 0 2 2 4 0 4 4 2 2 2 2 2 2 5 2 2 2 2 2 5 5 2 4 0 2 4 2 4 2 2 2 5 2 0 2 0 2 2 2 2 0 2 0 2 4 2 2]
GINE,0.5298013245033113,0.3936887898383971,0.5298013245033113,0.4270962369344728,0.5267857142857143,1.3521444647517424,27.801631450653076,2.359454870223999,[2 0 2 5 2 0 4 2 2 2 2 0 2 4 2 2 2 4 4 0 2 2 4 6 5 2 4 2 2 2 2 5 2 4 2 0 4 5 2 2 4 5 2 2 0 2 5 2 0 4 5 2 2 2 2 2 0 0 2 5 2 2 2 0 2 2 2 4 0 4 2 4 2 0 2 2 2 0 2 0 2 2 2 5 0 2 4 4 2 4 0 2 0 2 2 2 0 0 2 2 2 0 2 2 0 2 2 4 0 4 4 2 2 2 2 2 2 5 2 2 2 2 2 5 5 2 4 0 2 4 2 4 2 2 2 5 2 0 2 0 2 2 2 2 0 2 0 2 4 2 2]
GINE,0.6887417218543046,0.5479468729616811,0.6887417218543046,0.6005821626265239,0.6410098522167488,1.0149902109278748,30.00924015045166,2.5682172775268555,[2 0 3 5 3 0 4 3 3 2 3 0 2 4 3 3 2 4 4 5 3 3 4 3 5 3 4 3 3 2 2 5 2 4 2 0 4 5 2 2 4 5 2 3 0 3 5 3 0 4 5 2 2 2 3 3 0 0 3 5 2 2 3 0 2 2 3 4 0 4 2 4 2 0 2 2 3 0 3 0 3 2 2 5 0 2 4 4 3 4 0 3 0 3 2 3 0 0 2 2 2 0 2 2 0 2 2 4 0 4 4 2 3 2 3 3 3 5 3 3 2 2 2 3 5 2 4 5 2 4 3 4 3 2 3 5 3 0 2 0 2 2 2 3 0 2 0 2 4 2 2]
[6, 0, 3, 5, 3, 0, 4, 3, 3, 2, 1, 0, 2, 5, 3, 1, 2, 4, 4, 3, 3, 3, 4, 5, 5, 1, 4, 3, 1, 2, 2, 5, 6, 4, 2, 0, 4, 5, 2, 2, 4, 5, 6, 1, 0, 3, 5, 1, 0, 5, 5, 6, 2, 2, 3, 3, 0, 0, 3, 5, 6, 6, 3, 0, 6, 6, 3, 4, 0, 4, 2, 5, 6, 5, 2, 6, 3, 0, 3, 0, 1, 6, 6, 5, 0, 6, 4, 4, 3, 4, 0, 3, 0, 3, 2, 3, 0, 0, 6, 6, 6, 0, 2, 6, 0, 2, 6, 4, 0, 4, 4, 6, 1, 2, 3, 3, 1, 5, 3, 1, 2, 2, 6, 5, 3, 2, 4, 3, 6, 4, 1, 4, 1, 2, 3, 3, 3, 0, 6, 0, 6, 2, 6, 1, 0, 2, 0, 2, 4, 2, 2]
